what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490160430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490173580
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1581490212058
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490220463
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490234804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490235934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490242164
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1581490301153
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490301288
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490302678
executed,command,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.command.openTask",1581490302688
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581490303966
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490304121
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490304619
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581490325733
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581490333751
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581490337616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490337774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490338136
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581490349546
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581490355601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490355749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490356134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581490373600
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1581490381760
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1581490391568
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1581490391960
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1581490393045
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581490395253
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581490399250
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581490401440
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1581490402928
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581490408298
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1581490410743
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581490411368
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1581490415495
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490415628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490416123
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581490420015
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581490425196
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1581490433423
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1581490446013
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1581490449903
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490471781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1581490476341
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1581490500459
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1581490519187
